Donor,Year,Amount_millions,Corporation
Academy of Korean Studies,2012,0.915774,0
Advanced Technology Investment Corp,2011,0.999968,1
Anonymous,2011,3,0
Anonymous,2012,30.572521,0
Anonymous,2013,0.247145,0
Aveva Group,2013,0.282963,1
BASF Corp (Knoll Pharmaceuticals),2012,4.5,1
BASF Corporation,2014,6.176408,1
BASF Corporation,2015,3.741669,1
BASF Corporation,2016,0.927525,1
Berkeley Education Alliance for Research in Singapore,2012,15.34804,0
Berkeley Education Alliance for Research in Singapore,2013,15.34804,0
"Botero, Fernando",2010,21.2,0
BP Group,2012,0.5,1
Burroughs Wellcome Fund,2014,0.42,1
Burroughs Wellcome Fund,2015,0.537,1
Chau Hoi Shuen Foundation,2013,1.9,0
Cher Wang,2010,0.299981,0
Cher Wang,2012,0.45,0
Chilisin Electronics Corp.,2014,0.675,1
China Automotive Battery Research,2016,0.45,1
"Chung, Leslie W K & Wilfred W",2012,4.8,0
Commission on Higher Education,2015,4.236893,0
Commission on Higher Education,2016,3.08211,0
"Delta Electronics, Inc.",2013,0.25,1
Denso Corporation,2014,1.5,1
Economic & Social Research Council,2015,0.44956,0
Educational Foundation of University of Science and Technology of China,2014,0.45,0
FANUC Limited,2013,2.160294,1
Firchild Semiconductor,2013,0.25,1
GlaxoSmithKline,2015,0.285,1
GlaxoSmithKline,2016,1.810954,1
Hasma IV Holding Limited,2013,0.25,1
"Hitachi, Ltd",2012,0.25,1
Hoffmann-La Roche LTD.,2013,0.299306,1
Hoffmann-La Roche LTD. (Inc Roche M,2015,1.2,1
Human Frontier Science Program,2013,0.8069,0
Human Frontier Science Program,2015,0.42196,0
Human Frontier Science Program Organization,2016,0.28906,0
Hyundai Motor Company,2013,0.768778,1
Hyundai Motor Company,2014,0.413287,1
Hyundai Motor Company,2015,0.96449,1
Industrial Technology Research Inst,2010,0.5,1
Innate Pharma SAS,2015,0.462,1
Institute of Microelectronics of Ch,2014,0.25,1
International Growth Centre,2015,0.289309,1
Israel Ministry of Defense,2015,0.15,0
"Israel, Government of",2015,0.1,0
Jacobs Foundation,2015,0.27,0
Jacobs Foundation,2016,0.856456,0
Joffe Charitible Trust,2011,0.406211,0
KAUST U.S. Limited,2012,0.43232,1
King Abdulaziz City for Science and Technology,2014,6,0
King Abdulaziz University,2012,2,0
King Abdulaziz University,2015,0.58919,0
King Abdullah Univ of Sci & Tech,2016,0.384,0
King Abdullah Univ. of Science & Te,2012,1.44,0
King Abdullah Univ. of Science & Te,2013,0.3,0
King Abdullah University of Science and Technology,2013,0.3,0
Korea Electric Power Corporation,2012,1.067544,1
Korea Electric Power Corporation,2014,0.36,1
Korea Electric Power Corporation,2015,0.767017,1
Korea Electronics Technology Instit,2012,0.558,1
Korea Institute of Materials Scienc,2014,0.25,1
Kuwait Fdn for Advancement Sciences,2016,0.25,0
Kyung Hee University,2014,0.997035,0
Landtek Corporation,2011,0.3,1
Lens Technology,2015,0.3,1
LG Chen,2014,0.300002,1
Li Ka Shing,2010,4,0
Li Ka Shing,2015,3,0
Li Ka Shing (Canada) Foundation,2011,4,0
Li Ka Shing (Canada) Foundation,2012,12,0
Li Ka Shing (Canada) Foundation,2014,4,0
Li Ka Shing Foundation,2016,3,0
Lowy Medical Research Institute Ltd,2014,0.3,0
MasterCard Foundation,2012,30.077837,1
Mr. Tze-Boon T. Ong,2015,0.25,0
Mrs. Keiko Stake,2016,0.3,0
National Cancer Institute of Canada,2015,0.634389,0
National Commission for Scientific,2013,0.311755,0
National Institute for Materials Science,2014,0.799396,0
Netherlands Organisation for Scientific Research,2014,0.509652,0
